Tanggal,Toko,penjualanDebit,penjualanKredit,uangMasukDebit,uangMasukKredit,[CREDIT] UNMAPPED_1000.02.05,[CREDIT] UNMAPPED_2002.08,[CREDIT] UNMAPPED_4000.100,[CREDIT] UNMAPPED_6000.01.13,[CREDIT] admin_bank,[CREDIT] admin_merchant,[CREDIT] balancing_misc,[CREDIT] balancing_rounding,[CREDIT] discount,[CREDIT] payment_cash,[CREDIT] payment_credit_bca,[CREDIT] payment_gobiz,[CREDIT] payment_transfer,[CREDIT] sales_bar,[CREDIT] sales_beans,[CREDIT] sales_bundling,[CREDIT] sales_inventory,[CREDIT] sales_konsinyasi,[CREDIT] service_charge,[CREDIT] tax,[DEBIT] UNMAPPED_1000.02.03,[DEBIT] UNMAPPED_1000.02.05,[DEBIT] UNMAPPED_1102.01,[DEBIT] UNMAPPED_1109.02.01,[DEBIT] UNMAPPED_4000.91,[DEBIT] admin_bank,[DEBIT] admin_merchant,[DEBIT] balancing_misc,[DEBIT] balancing_rounding,[DEBIT] discount,[DEBIT] payment_academy_100_vouc,[DEBIT] payment_academy_50_vouch,[DEBIT] payment_cash,[DEBIT] payment_cl_upperwest,[DEBIT] payment_credit_bca,[DEBIT] payment_go_dine_in_vou,[DEBIT] payment_gobiz,[DEBIT] payment_ovo,[DEBIT] payment_strada_gift_vou,[DEBIT] payment_strada_reward,[DEBIT] payment_transfer,[DEBIT] payment_voucher_ckt_50_0,[DEBIT] payment_voucher_florist,[DEBIT] payment_voucher_harris_p,[DEBIT] payment_voucher_justyoga,[DEBIT] payment_voucher_padel_sp,[DEBIT] payment_voucher_timezone,[DEBIT] payment_voucher_workshop,[DEBIT] payment_workshop_sms_voucher,[DEBIT] sales_bar,[DEBIT] sales_beans
2026-03-18,SMS,978285,978285,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,847000,0,0,0,0,42350,88935,0,0,0,0,0,0,0,0,0,0,0,0,0,0,978285,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2026-03-18,SMB GOLD LOUNGE,1106810,1106810,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,967000,0,0,0,0,45100,94710,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1106810,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2026-03-18,MKG,1683155,1683155,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1466000,0,0,0,0,70050,147105,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1683155,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2026-03-17,SMS,467775,467775,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,405000,0,0,0,0,20250,42525,0,0,0,0,0,0,0,0,0,0,0,0,0,0,467775,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2026-03-17,MKG,1304365,1304365,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1183000,0,0,0,0,39150,82215,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1304365,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2026-03-16,SMS,337260,337260,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,292000,0,0,0,0,14600,30660,0,0,0,0,0,0,0,0,0,0,0,0,0,0,337260,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2026-03-16,MKG,1342110,1342110,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1162000,0,0,0,0,58100,122010,0,0,0,0,0,0,0,0,0,11100,0,0,0,0,1331010,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2026-03-15,SMS,1288100,1288100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1130000,0,0,0,0,51000,107100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1288100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2026-03-15,MKG,2361975,2361975,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2045000,0,0,0,0,102250,214725,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2361975,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2026-03-14,SMS,1234695,1234695,466620,466620,0,0,0,0,0,0,0,0,0,0,466620,0,0,1069000,0,0,0,0,53450,112245,0,463435.67,0,0,0,3184.33,0,0,0,0,0,0,0,0,1234695,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2026-03-14,MKG,1827210,1827210,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1582000,0,0,0,0,79100,166110,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1827210,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2026-03-13,SMS,466620,466620,304920,304920,0,0,0,0,0,0,0,0,0,0,304920,0,0,404000,0,0,0,0,20200,42420,0,301779.26,0,0,0,3140.74,0,0,0,0,0,0,0,0,466620,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2026-03-13,MKG,508200,508200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,440000,0,0,0,0,22000,46200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,508200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2026-03-12,SMS,304920,304920,460845,460845,0,0,0,0,0,0,0,0,0,0,460845,0,0,264000,0,0,0,0,13200,27720,0,457935.56,0,0,0,2909.44,0,0,0,0,0,0,0,0,304920,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2026-03-12,MKG,482790,482790,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,418000,0,0,0,0,20900,43890,0,0,0,0,0,0,0,0,0,0,0,0,0,0,482790,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2026-03-11,SMS,460845,460845,120120,120120,0,0,0,0,0,0,0,0,0,0,120120,0,0,399000,0,0,0,0,19950,41895,0,119279.17,0,0,0,840.83,0,0,0,0,0,0,0,0,460845,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2026-03-11,MKG,585070,585070,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,524000,0,0,0,0,19700,41370,0,0,0,0,0,0,0,0,0,0,0,0,0,0,585070,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2026-03-10,SMS,120120,120120,762300,762300,0,0,0,0,0,0,0,0,0,0,762300,0,0,104000,0,0,0,0,5200,10920,0,757167.19,0,0,0,5132.81,0,0,0,0,0,0,0,0,120120,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
