Nomor #,Tanggal Transaksi Keterangan,Tanggal Transaksi Jurnal,Store,Jenis Jurnal,Nilai,Keterangan
JV.2025.04.00451,20-Apr-2025,21-Apr-2025,MKG,Uang masuk,"4,128,985.00",Uang masuk penjualan cafe strada MKG tanggal 20/04/2025
JV.2025.04.00444,20-Apr-2025,20-Apr-2025,La Piazza,Penjualan cafe,"31,170,875.00",Penjualan cafe tanggal 20/04/2025
JV.2025.04.00457,20-Apr-2025,21-Apr-2025,La Piazza,Uang masuk,"31,020,425.00",Uang masuk penjualan cafe tanggal 20/04/2025
JV.2025.04.00445,21-Apr-2025,21-Apr-2025,MKG,Penjualan cafe,"485,255.00",Penjualan cafe strada MKG tanggal 21/04/2025
JV.2025.04.00450,21-Apr-2025,22-Apr-2025,MKG,Uang masuk,"485,255.00",Uang masuk penjualan cafe strada MKG tanggal 21/04/2025
JV.2025.04.00443,21-Apr-2025,21-Apr-2025,La Piazza,Penjualan cafe,"12,761,960.00",Penjualan cafe tanggal 21/04/2025
JV.2025.04.00456,21-Apr-2025,22-Apr-2025,La Piazza,Uang masuk,"12,558,260.00",Uang masuk penjualan cafe tanggal 21/04/2025
JV.2025.04.00859,22-Apr-2025,22-Apr-2025,MKG,Penjualan cafe,"593,460.00",Penjualan cafe strada MKG tanggal 22/04/2025
JV.2025.04.00838,22-Apr-2025,23-Apr-2025,MKG,Uang masuk,"593,460.00",Uang masuk penjualan cafe strada MKG tanggal 22/04/2025
JV.2025.04.00733,22-Apr-2025,22-Apr-2025,La Piazza,Penjualan cafe,"10,307,825.00",Penjualan cafe tanggal 22/04/2025
JV.2025.04.00734,22-Apr-2025,23-Apr-2025,La Piazza,Uang masuk,"10,226,225.00",Uang masuk penjualan cafe tanggal 22/04/2025
JV.2025.04.00860,23-Apr-2025,23-Apr-2025,MKG,Penjualan cafe,"660,845.00",Penjualan cafe strada MKG tanggal 23/04/2025
JV.2025.04.00839,23-Apr-2025,24-Apr-2025,MKG,Uang masuk,"660,845.00",Uang masuk penjualan cafe strada MKG tanggal 23/04/2025
JV.2025.03.00828,23-Apr-2025,27-Mar-2025,La Piazza,Setoran cash,"300,300.00",Setoran cash penjualan cafe tanggal 23/04/2025
JV.2025.04.00735,23-Apr-2025,23-Apr-2025,La Piazza,Penjualan cafe,"11,293,210.00",Penjualan cafe tanggal 23/04/2025
JV.2025.04.00736,23-Apr-2025,24-Apr-2025,La Piazza,Uang masuk,"11,171,260.00",Uang masuk penjualan cafe tanggal 23/04/2025
JV.2025.04.00861,24-Apr-2025,24-Apr-2025,MKG,Penjualan cafe,"878,745.00",Penjualan cafe strada MKG tanggal 24/04/2025
JV.2025.04.00840,24-Apr-2025,25-Apr-2025,MKG,Uang masuk,"878,745.00",Uang masuk penjualan cafe strada MKG tanggal 24/04/2025
JV.2025.04.00737,24-Apr-2025,24-Apr-2025,La Piazza,Penjualan cafe,"14,735,065.00",Penjualan cafe tanggal 24/04/2025
JV.2025.04.00738,24-Apr-2025,25-Apr-2025,La Piazza,Uang masuk,"14,271,185.00",Uang masuk penjualan cafe tanggal
JV.2025.04.00812,24-Apr-2025,29-Apr-2025,La Piazza,Uang masuk,"87,780.00",Uang masuk penjualan cash tanggal 24/04/2025
JV.2025.04.00862,25-Apr-2025,25-Apr-2025,MKG,Penjualan cafe,"1,174,389.00",Penjualan cafe strada MKG tanggal 25/04/2025
JV.2025.04.00841,25-Apr-2025,26-Apr-2025,MKG,Uang masuk,"1,157,889.00",Uang masuk penjualan cafe strada MKG tanggal 25/04/2025
JV.2025.04.00739,25-Apr-2025,25-Apr-2025,La Piazza,Penjualan cafe,"17,266,815.00",Penjualan cafe tanggal 25/04/2025
JV.2025.04.00745,25-Apr-2025,26-Apr-2025,La Piazza,Uang masuk,"16,905,590.00",Uang masuk penjualan cafe tanggal 25/04/2025
JV.2025.04.00863,26-Apr-2025,26-Apr-2025,MKG,Penjualan cafe,"3,069,785.00",Penjualan cafe strada MKG tanggal 26/04/2025
JV.2025.04.00842,26-Apr-2025,27-Apr-2025,MKG,Uang masuk,"3,069,785.00",Uang masuk penjualan cafe strada MKG tanggal 26/04/2025
JV.2025.04.00762,26-Apr-2025,26-Apr-2025,La Piazza,Penjualan cafe,"22,339,320.00",Penjualan cafe tanggal 26/04/2025
JV.2025.04.00763,26-Apr-2025,27-Apr-2025,La Piazza,Uang masuk,"22,016,415.00",Uang masuk penjualan cafe tanggal 26/04/2025
JV.2025.03.00807,27-Apr-2025,28-Mar-2025,MKG,Uang masuk,"945,460.00",Uang masuk penjualan cafe strada MKG tanggal 27/04/2025
JV.2025.04.00864,27-Apr-2025,27-Apr-2025,MKG,Penjualan cafe,"3,923,990.00",Penjualan cafe strada MKG tanggal 27/04/2025
JV.2025.04.00856,27-Apr-2025,28-Apr-2025,MKG,Uang masuk,"3,923,990.00",Uang masuk penjualan cafe strada MKG tanggal 27/04/2025
JV.2025.04.00764,27-Apr-2025,27-Apr-2025,La Piazza,Penjualan cafe,"22,310,785.00",Penjualan cafe tanggal 27/04/2025
JV.2025.04.00765,27-Apr-2025,28-Apr-2025,La Piazza,Uang masuk,"21,920,385.00",Uang masuk penjualan cafe tanggal 27/04/2025
JV.2025.04.00143,28-Apr-2025,29-Mar-2025,MKG,Uang masuk,"1,652,320.00",Uang masuk penjualan cafe strada MKG tanggal 28/04/2025
JV.2025.04.00865,28-Apr-2025,28-Apr-2025,MKG,Penjualan cafe,"979,440.00",Penjualan cafe strada MKG tanggal 28/04/2025
JV.2025.04.00857,28-Apr-2025,29-Apr-2025,MKG,Uang masuk,"979,440.00",Uang masuk penjualan cafe strada MKG tanggal 28/04/2025
JV.2025.04.00834,28-Apr-2025,28-Apr-2025,La Piazza,Penjualan cafe,"12,486,785.00",Penjualan cafe tanggal 28/04/2025
JV.2025.04.00810,28-Apr-2025,29-Apr-2025,La Piazza,Uang masuk,"11,499,295.00",Uang masuk penjualan cafe tanggal 28/04/2025
JV.2025.04.00866,29-Apr-2025,29-Apr-2025,MKG,Penjualan cafe,"1,103,180.00",Penjualan cafe strada MKG tanggal 29/04/2025
JV.2025.04.00858,29-Apr-2025,30-Apr-2025,MKG,Uang masuk,"1,103,180.00",Uang masuk penjualan cafe strada MKG tanggal 29/04/2025
JV.2025.04.00835,29-Apr-2025,29-Apr-2025,La Piazza,Penjualan cafe,"13,052,170.00",Penjualan cafe tanggal 29/04/2025
JV.2025.04.00811,29-Apr-2025,30-Apr-2025,La Piazza,Uang masuk,"12,658,270.00",Uang masuk penjualan cafe tanggal 29/04/2025
JV.2025.04.00867,30-Apr-2025,30-Apr-2025,MKG,Penjualan cafe,"921,525.00",Penjualan cafe strada MKG tanggal 30/04/2025
JV.2025.05.00160,30-Apr-2025,1-May-2025,MKG,Uang masuk,"921,525.00",Uang masuk penjualan cafe strada MKG tanggal 30/04/2025
JV.2025.04.00836,30-Apr-2025,30-Apr-2025,La Piazza,Penjualan cafe,"20,508,560.00",Penjualan cafe tanggal 30/04/2025
JV.2025.05.00144,30-Apr-2025,1-May-2025,La Piazza,Uang masuk,"20,259,160.00",Uang masuk penjualan cafe tanggal 30/04/2025
JV.2025.05.00166,1-May-2025,1-May-2025,MKG,Penjualan cafe,"2,620,520.00",Penjualan cafe strada MKG tanggal 01/05/2025
JV.2025.05.00161,1-May-2025,2-May-2025,MKG,Uang masuk,"2,620,520.00",Uang masuk penjualan cafe strada MKG tanggal 01/05/2025
JV.2025.05.00150,1-May-2025,1-May-2025,La Piazza,Penjualan cafe,"40,477,490.00",Penjualan cafe tanggal 01/05.2025
JV.2025.05.00145,1-May-2025,2-May-2025,La Piazza,Uang masuk,"39,108,395.00",Uang masuk penjualan cafe 01/05/2025
JV.2025.05.00167,2-May-2025,2-May-2025,MKG,Penjualan cafe,"1,506,065.00",Penjualan cafe strada MKG tanggal 02/05/2025
JV.2025.05.00162,2-May-2025,3-May-2025,MKG,Uang masuk,"1,475,765.00",Uang masuk penjualan cafe strada MKG tanggal 02/05/2025
JV.2025.05.00151,2-May-2025,2-May-2025,La Piazza,Penjualan cafe,"25,096,620.00",Penjualan cafe tanggal 02/05/2025
JV.2025.05.00146,2-May-2025,3-May-2025,La Piazza,Uang masuk,"24,932,490.00",Uang masuk penjualan cafe tanggal 02/05/2025
JV.2025.05.00168,3-May-2025,3-May-2025,MKG,Penjualan cafe,"1,616,120.00",Penjualan cafe strada MKG tanggal 03/05/2025
JV.2025.05.00163,3-May-2025,4-May-2025,MKG,Uang masuk,"1,616,120.00",Uang masuk penjualan cafe strada MKG tanggal 03/05/2025
JV.2025.05.00152,3-May-2025,3-May-2025,La Piazza,Penjualan cafe,"34,271,130.00",Penjualan cafe tanggal 03/05/2025
JV.2025.05.00169,4-May-2025,4-May-2025,MKG,Penjualan cafe,"2,262,865.00",Penjualan cafe strada MKG tanggal 04/05/2025
JV.2025.05.00164,4-May-2025,5-May-2025,MKG,Uang masuk,"2,262,865.00",Uang masuk penjualan cafe strada MKG tanggal 04/05/2025
JV.2025.05.00153,4-May-2025,4-May-2025,La Piazza,Penjualan cafe,"31,355,705.00",Penjualan cafe tanggal 04/05/2025
JV.2025.05.00148,4-May-2025,5-May-2025,La Piazza,Uang masuk,"31,081,850.00",Uang masuk penjualan cafe tanggal 04/05/2025
JV.2025.05.00170,5-May-2025,5-May-2025,MKG,Penjualan cafe,"651,420.00",Penjualan cafe strada MKG tanggal 05/05/2025
JV.2025.05.00165,5-May-2025,6-May-2025,MKG,Uang masuk,"651,420.00",Uang masuk penjualan cafe strada MKG tanggal 05/05/2025
JV.2025.05.00154,5-May-2025,5-May-2025,La Piazza,Penjualan cafe,"10,685,510.00",Penjualan cafe tanggal 05/05/2025
JV.2025.05.00149,5-May-2025,6-May-2025,La Piazza,Uang masuk,"10,603,160.00",Uang masuk penjualan cafe tanggal 05/05/2025
JV.2025.05.00972,6-May-2025,7-May-2025,La Piazza,Uang Masuk,"18,639,130.00",Uang Masuk Penjualan La Piazza 6 Mei 2025
JV.2025.05.00326,6-May-2025,6-May-2025,MKG,Penjualan cafe,"788,990.00",Penjualan cafe strada MKG tanggal 06/05/2025
JV.2025.05.00334,6-May-2025,7-May-2025,MKG,Uang masuk,"788,990.00",Uang masuk penjualan cafe strada MKG tanggal 06/05/2025
JV.2025.05.00155,6-May-2025,6-May-2025,La Piazza,Penjualan cafe,"19,335,080.00",Penjualan cafe tanggal 06/05/2025
JV.2025.05.00327,7-May-2025,7-May-2025,MKG,Penjualan cafe,"1,146,586.00",Penjualan cafe strada MKG tanggal 07/05/2025
JV.2025.05.00335,7-May-2025,8-May-2025,MKG,Uang masuk,"1,136,686.00",Uang masuk penjualan cafe strada MKG tanggal 07/05/2025
JV.2025.05.00251,7-May-2025,7-May-2025,La Piazza,Penjualan cafe,"24,333,430.00",Penjualan cafe tanggal 07/05/2025
JV.2025.05.00255,7-May-2025,8-May-2025,La Piazza,Uang masuk,"24,093,880.00",Uang masuk penjualan cafe tanggal 07/05/2025
JV.2025.05.00328,8-May-2025,8-May-2025,MKG,Penjualan cafe,"1,175,885.00",Penjualan cafe strada MKG tanggal 08/05/2025
JV.2025.05.00336,8-May-2025,9-May-2025,MKG,Uang masuk,"1,175,885.00",Uang masuk penjualan cafe strada MKG tanggal 08/05/2025
JV.2025.05.00254,8-May-2025,8-May-2025,La Piazza,Penjualan cafe,"14,499,350.00",Penjualan cafe tanggal 08/05/2025
JV.2025.05.00256,8-May-2025,9-May-2025,La Piazza,Uang masuk,"14,199,300.00",Uang masuk penjualan cafe tanggal 08/05/2025
JV.2025.05.00329,9-May-2025,9-May-2025,MKG,Penjualan cafe,"1,334,866.00",Penjualan cafe strada MKG tanggal 09/05/2025
JV.2025.05.00337,9-May-2025,10-May-2025,MKG,Uang masuk,"1,322,866.00",Uang masuk penjualan cafe strada MKG tanggal 09/05/2025
JV.2025.05.00315,9-May-2025,9-May-2025,La Piazza,Penjualan cafe,"19,028,240.00",Penjualan cafe tanggal 09/05/2025
JV.2025.05.00320,9-May-2025,10-May-2025,La Piazza,Uang masuk,"18,747,440.00",Uang masuk penjualan cafe tanggal 09/05/2025
JV.2025.05.00330,10-May-2025,10-May-2025,MKG,Penjualan cafe,"2,404,545.00",Penjualan cafe strada MKG tanggal 10/05/2025
JV.2025.05.00338,10-May-2025,11-May-2025,MKG,Uang masuk,"2,404,545.00",Uang masuk penjualan cafe strada MKG tanggal 10/05/2025
JV.2025.05.00316,10-May-2025,10-May-2025,La Piazza,Penjualan cafe,"28,394,050.00",Penjualan cafe tanggal10/05/2025
JV.2025.05.00321,10-May-2025,11-May-2025,La Piazza,Uang masuk,"28,164,050.00",Uang masuk penjualan cafe tanggal 10/05/2025
JV.2025.05.00331,11-May-2025,11-May-2025,MKG,Penjualan cafe,"3,634,650.00",Penjualan cafe strada MKG tanggal 11/05/2025
JV.2025.05.00339,11-May-2025,12-May-2025,MKG,Uang masuk,"3,634,650.00",Uang masuk penjualan cafe strada MKG tanggal 11/05/2025
JV.2025.05.00317,11-May-2025,11-May-2025,La Piazza,Penjualan cafe,"36,988,820.00",Penjualan cafe tanggal 11/05/2025
JV.2025.05.00322,11-May-2025,12-May-2025,La Piazza,Uang masuk,"34,278,810.00",Uang masuk penjualan cafe tanggal 11/05/2025
JV.2025.05.00332,12-May-2025,12-May-2025,MKG,Penjualan cafe,"1,642,410.00",Penjualan cafe strada MKG tanggal 12/05/2025
JV.2025.05.00340,12-May-2025,13-May-2025,MKG,Uang masuk,"1,642,410.00",Uang masuk penjualan cafe strada MKG tanggal 12/05/2025
JV.2025.05.00318,12-May-2025,12-May-2025,La Piazza,Penjualan cafe,"31,478,025.00",Penjualan cafe tanggal 12/05/2025
JV.2025.05.00323,12-May-2025,13-May-2025,La Piazza,Uang masuk,"30,157,320.00",Uang masuk penjualan cafe tanggal 12/05/2025
JV.2025.05.00333,13-May-2025,13-May-2025,MKG,Penjualan cafe,"631,785.00",Penjualan cafe strada MKG tanggal 13/05/2025
JV.2025.05.00341,13-May-2025,14-May-2025,MKG,Uang masuk,"631,785.00",Uang masuk penjualan cafe strada MKG tanggal 13/05/2025
JV.2025.05.00319,13-May-2025,13-May-2025,La Piazza,Penjualan cafe,"21,878,370.00",Penjualan cafe tanggal 13/05/2025
JV.2025.05.00324,13-May-2025,13-May-2025,La Piazza,Uang masuk,"21,657,095.00",Uang masuk penjualan cafe tanggal 13/05/2025
JV.2025.05.00392,14-May-2025,14-May-2025,MKG,Penjualan cafe,"224,070.00",Penjualan cafe strada MKG tanggal 14/05/2025
JV.2025.05.00442,14-May-2025,15-May-2025,MKG,Uang masuk,"224,070.00",Uang masuk penjualan cafe strada MKG tanggal 14/05/2025
JV.2025.05.00391,14-May-2025,14-May-2025,La Piazza,Penjualan cafe,"11,991,835.00",Penjualan cafe tanggal 14/05/2025
JV.2025.05.00445,14-May-2025,15-May-2025,La Piazza,Uang masuk,"11,758,275.00",Uang masuk penjualan cafe tanggal
JV.2025.05.00440,15-May-2025,15-May-2025,MKG,Penjualan cafe,"490,875.00",Penjualan cafe strada MKG tanggal 15/05/2025
JV.2025.05.00441,15-May-2025,16-May-2025,MKG,Uang masuk,"490,875.00",Uang masuk penjualan cafe strada MKG tanggal 15/05/2025
JV.2025.05.00443,15-May-2025,15-May-2025,La Piazza,Penjualan cafe,"6,417,180.00",Penjualan cafe tanggal 15/05/025
JV.2025.05.00444,15-May-2025,16-May-2025,La Piazza,Uang masuk,"6,182,160.00",Uang masuk penjualan cafe tanggal 15/05/2025
JV.2025.05.00564,16-May-2025,16-May-2025,MKG,Penjualan cafe,"394,480.00",Penjualan cafe strada MKG tanggal 16/05/2025
JV.2025.05.00563,16-May-2025,17-May-2025,MKG,Uang masuk,"394,480.00",Uang masuk penjualan cafe strada MKG tanggal 16/05/2025
JV.2025.05.00555,16-May-2025,16-May-2025,La Piazza,Penjualan cafe,"20,556,525.00",Penjualan cafe tanggal 16/05/2025
JV.2025.05.00559,16-May-2025,17-May-2025,La Piazza,Uang masuk,"19,856,535.00",Uang masuk penjualan cafe tanggal 16/05/2025
JV.2025.06.00785,16-May-2025,17-Jun-2025,La Piazza,Uang masuk,"14,911,325.00",Uang masuk penjualan cafe tanggal 16/05/2025
JV.2025.05.00565,17-May-2025,17-May-2025,MKG,Penjualan cafe,"2,047,755.00",Penjualan cafe strada MKG tanggal 17/05/2025
JV.2025.05.00566,17-May-2025,18-May-2025,MKG,Uang masuk,"2,047,755.00",Uang masuk penjualan cafe strada MKG tanggal 17/05/2025
JV.2025.05.00556,17-May-2025,17-May-2025,La Piazza,Penjualan cafe,"33,022,875.00",Penjualan cafe tanggal 17/05/2025
JV.2025.05.00560,17-May-2025,18-May-2025,La Piazza,Uang masuk,"32,645,335.00",Uang masuk penjualan cafe tanggal 17/05/2025
JV.2025.05.00567,18-May-2025,18-May-2025,MKG,Penjualan cafe,"2,150,720.00",Penjualan cafe strada MKG tanggal 18/05/2025
JV.2025.05.00568,18-May-2025,19-May-2025,MKG,Uang masuk,"2,150,720.00",Uang masuk penjualan cafe strada MKG tanggal 18/05/2025
JV.2025.05.00557,18-May-2025,18-May-2025,La Piazza,Penjualan cafe,"26,482,703.00",Penjualan cafe tanggal 18/05/2025
JV.2025.05.00561,18-May-2025,19-May-2025,La Piazza,Uang masuk,"25,976,393.00",Uang masuk penjualan cafe tanggal 18/05/2025
JV.2025.05.00570,19-May-2025,19-May-2025,MKG,Penjualan cafe,"492,248.00",Penjualan cafe strada MKG tanggal 19/05/2025
JV.2025.05.00569,19-May-2025,20-May-2025,MKG,Uang masuk,"478,748.00",Uang masuk penjualan cafe strada MKG tanggal 19/05/2025
JV.2025.05.00558,19-May-2025,19-May-2025,La Piazza,Penjualan cafe,"12,114,905.00",Penjualan cafe tanggal 19/05/2025
JV.2025.05.00562,19-May-2025,20-May-2025,La Piazza,Uang masuk,"11,897,900.00",Uang masuk penjualan cafe tanggal 19/05/2025
JV.2025.05.00636,20-May-2025,20-May-2025,MKG,Penjualan cafe,"918,685.00",Penjualan cafe strada MKG tanggal 20/05/2025
JV.2025.05.00639,20-May-2025,21-May-2025,MKG,Uang masuk,"918,685.00",Uang masuk penjualan cafe strada MKG tanggal 20/05/2025
JV.2025.05.00632,20-May-2025,20-May-2025,La Piazza,Penjualan cafe,"12,850,545.00",Penjualan cafe tanggal 20/05/2025
JV.2025.05.00633,20-May-2025,21-May-2025,La Piazza,Uang masuk,"12,708,925.00",Uang masuk penjualan cafe tanggal 20/05/2025
JV.2025.05.00637,21-May-2025,21-May-2025,MKG,Penjualan cafe,"706,860.00",Penjualan cafe strada MKG tanggal 21/05/2025
JV.2025.05.00640,21-May-2025,22-May-2025,MKG,Uang masuk,"706,860.00",Uang masuk penjualan cafe strada MKG tanggal 21/05/2025
JV.2025.05.00631,21-May-2025,21-May-2025,La Piazza,Penjualan cafe,"17,395,570.00",Penjualan cafe tanggal 21/05/2025
JV.2025.05.00634,21-May-2025,22-May-2025,La Piazza,Uang masuk,"16,529,515.00",Uang masuk penjualan cafe tanggal 21/05/2025
JV.2025.05.00638,22-May-2025,22-May-2025,MKG,Penjualan cafe,"591,635.00",Penjualan cafe strada MKG tanggal 22/05/2025
JV.2025.05.00641,22-May-2025,23-May-2025,MKG,Uang masuk,"591,635.00",Uang masuk penjualan cafe strada MKG tanggal 22/05/2025
JV.2025.05.00630,22-May-2025,22-May-2025,La Piazza,Penjualan cafe,"13,198,415.00",Penjualan cafe tanggal 22/05/2025
JV.2025.05.00635,22-May-2025,23-May-2025,La Piazza,Uang masuk,"13,136,915.00",Uang masuk penjualan cafe tanggal 22/05/2025
JV.2025.05.00973,23-May-2025,23-May-2025,MKG,Penjualan cafe,"567,775.00",Penjualan cafe strada MKG tanggal 23/05/2025
JV.2025.05.00956,23-May-2025,24-May-2025,MKG,Uang masuk,"567,775.00",Uang masuk penjualan cafe strada MKG tanggal 23/05/2025
JV.2025.05.00797,23-May-2025,23-May-2025,La Piazza,Penjualan cafe,"15,560,375.00",Penjualan cafe tanggal 23/05/2025
JV.2025.05.00799,23-May-2025,24-May-2025,La Piazza,Uang masuk,"15,370,800.00",Uang masuk penjualan cafe tanggal 23/05/2025
JV.2025.05.00975,24-May-2025,24-May-2025,MKG,Penjualan cafe,"2,224,855.00",Penjualan cafe strada MKG tanggal 24/05/2025
JV.2025.05.00957,24-May-2025,25-May-2025,MKG,Uang masuk,"2,224,855.00",Uang masuk penjualan cafe strada MKG tanggal 24/05/2025
JV.2025.05.00796,24-May-2025,24-May-2025,La Piazza,Penjualan cafe,"43,181,696.00",Penjualan cafe tanggal 24/05/2025
JV.2025.05.00798,24-May-2025,25-May-2025,La Piazza,Uang masuk,"42,327,871.00",Uang masuk penjualan cafe tanggal 24/05/2025
JV.2025.05.00976,25-May-2025,25-May-2025,MKG,Penjualan cafe,"2,502,805.00",Penjualan cafe strada MKG tanggal 25/05/2025
JV.2025.05.00958,25-May-2025,26-May-2025,MKG,Uang masuk,"2,502,805.00",Uang masuk penjualan cafe strada MKG tanggal 25/05/2025
JV.2025.05.00795,25-May-2025,25-May-2025,La Piazza,Penjualan cafe,"23,654,670.00",Penjualan cafe tanggal 25/05/2025
JV.2025.05.00800,25-May-2025,26-May-2025,La Piazza,Uang masuk,"23,319,125.00",Uang masuk penjualan cafe tanggal 25/05/2025
JV.2025.06.00377,26-May-2025,26-May-2025,MKG,Penjualan cafe,"704,365.00",Penjualan cafe strada MKG tanggal 26/05/2025
JV.2025.05.00959,26-May-2025,27-May-2025,MKG,Uang masuk,"704,365.00",Uang masuk penjualan cafe strada MKG tanggal 26/05/2025
JV.2025.05.00794,26-May-2025,26-May-2025,La Piazza,Penjualan cafe,"12,141,295.00",Penjualan cafe tanggal 26/05/2025
JV.2025.05.00801,26-May-2025,27-May-2025,La Piazza,Uang masuk,"12,014,800.00",Uang masuk penjualan cafe tanggal 26/05/2025
JV.2025.05.00977,27-May-2025,27-May-2025,MKG,Penjualan cafe,"1,841,055.00",Penjualan cafe strada MKG tanggal 27/05/2025
JV.2025.05.00960,27-May-2025,28-May-2025,MKG,Uang masuk,"1,841,055.00",Uang masuk penjualan cafe strada MKG tanggal 27/05/2025
JV.2025.05.00793,27-May-2025,27-May-2025,La Piazza,Penjualan cafe,"18,997,055.00",Penjualan cafe tanggal 27/05/2025
JV.2025.05.00802,27-May-2025,28-May-2025,La Piazza,Uang masuk,"17,894,050.00",Uang masuk penjualan cafe tanggal 27/05/2025
JV.2025.05.00978,28-May-2025,28-May-2025,MKG,Penjualan cafe,"989,305.00",Penjualan cafe strada MKG tanggal 28/05/2025
JV.2025.05.00961,28-May-2025,29-May-2025,MKG,Uang masuk,"989,305.00",Uang masuk penjualan cafe strada MKG tanggal 28/05/2025
JV.2025.05.00937,28-May-2025,28-May-2025,La Piazza,Penjualan cafe,"15,473,095.00",Penjualan cafe tanggal 28/05/2025
JV.2025.05.00944,28-May-2025,29-May-2025,La Piazza,Uang masuk,"15,362,020.00",Uang masuk penjualan cafe tanggal 28/05/2025
JV.2025.05.00979,29-May-2025,29-May-2025,MKG,Penjualan cafe,"1,915,215.00",Penjualan cafe strada MKG tanggal 29/05/2025
JV.2025.05.00962,29-May-2025,30-May-2025,MKG,Uang masuk,"1,898,115.00",Uang masuk penjualan cafe strada MKG tanggal 29/05/2025
JV.2025.05.00938,29-May-2025,29-May-2025,La Piazza,Penjualan cafe,"33,307,460.00",Penjualan cafe tanggal 29/05/2025
JV.2025.05.00943,29-May-2025,30-May-2025,La Piazza,Uang masuk,"33,190,160.00",Uang masuk penjualan cafe tanggal 29/05/2025
JV.2025.05.00980,30-May-2025,30-May-2025,MKG,Penjualan cafe,"1,588,060.00",Penjualan cafe strada MKG tanggal 30/05/2025
JV.2025.05.00963,30-May-2025,31-May-2025,MKG,Uang masuk,"1,588,060.00",Uang masuk penjualan cafe strada MKG tanggal 30/05/2025
JV.2025.05.00939,30-May-2025,30-May-2025,La Piazza,Penjualan cafe,"20,618,335.00",Penjualan cafe tanggal 30/05/2025
JV.2025.05.00942,30-May-2025,31-May-2025,La Piazza,Uang masuk,"20,366,185.00",Uang masuk penjualan cafe tanggal 30/05/2025
JV.2025.05.00981,31-May-2025,31-May-2025,MKG,Penjualan cafe,"1,062,984.00",Penjualan cafe strada MKG tanggal 31/05/2025
JV.2025.06.00374,31-May-2025,1-Jun-2025,MKG,Uang masuk,"1,053,684.00",Uang masuk penjualan cafe strada MKG tanggal 31/05/2025
JV.2025.05.00940,31-May-2025,31-May-2025,La Piazza,Penjualan cafe,"38,145,340.00",Penjualan cafe tanggal 31/05/2025
JV.2025.06.00259,31-May-2025,1-Jun-2025,La Piazza,Uang masuk,"37,959,490.00",Uang masuk penjualan cafe tanggal 31/05/2025
JV.2025.06.00848,1-Jun-2025,13-Jun-2025,La Piazza,Setoran cash,"49,665.00",Setoran cash penjualan cafe lapiaza 1 Juni 2025
JV.2025.06.00623,1-Jun-2025,1-Jun-2025,MKG,Penjualan cafe,"1,877,080.00",Penjualan cafe strada MKG tanggal 01/06/2025
JV.2025.06.00697,1-Jun-2025,2-Jun-2025,MKG,Uang masuk,"1,877,080.00",Uang masuk penjualan cafe strada MKG tanggal 01/06/2025
JV.2025.06.00239,1-Jun-2025,1-Jun-2025,La Piazza,Penjualan cafe,"29,750,228.00",Penjualan cafe tanggal 01/06/2025
JV.2025.06.00258,1-Jun-2025,2-Jun-2025,La Piazza,Uang masuk,"29,443,538.00",Uang masuk penjualan cafe tanggal 01/06/2025
JV.2025.06.00849,2-Jun-2025,13-Jun-2025,La Piazza,Setoran cash,"266,805.00",Setoran cash penjualan cafe lapiaza 2 Juni 2025
JV.2025.06.00624,2-Jun-2025,2-Jun-2025,MKG,Penjualan cafe,"637,825.00",Penjualan cafe strada MKG tanggal 02/06/2025
JV.2025.06.00698,2-Jun-2025,3-Jun-2025,MKG,Uang masuk,"637,825.00",Uang masuk penjualan cafe strada MKG tanggal 02/06/2025
JV.2025.06.00240,2-Jun-2025,2-Jun-2025,La Piazza,Penjualan cafe,"12,508,145.00",Penjualan cafe tanggal 02/06/2025
JV.2025.06.00257,2-Jun-2025,3-Jun-2025,La Piazza,Uang masuk,"12,047,665.00",Uang masuk penjualan cafe tanggal 02/06/2025
JV.2025.06.00625,3-Jun-2025,3-Jun-2025,MKG,Penjualan cafe,"505,267.00",Penjualan cafe strada MKG tanggal 03/06/2025
JV.2025.06.00699,3-Jun-2025,4-Jun-2025,MKG,Uang masuk,"505,267.00",Uang masuk penjualan cafe strada MKG tanggal 03/06/2025
JV.2025.06.00241,3-Jun-2025,3-Jun-2025,La Piazza,Penjualan cafe,"18,932,840.00",Penjualan cafe tanggal 03/06/2025
JV.2025.06.00255,3-Jun-2025,4-Jun-2025,La Piazza,Uang masuk,"17,282,140.00",Uang masuk penjualan cafe tanggal 03/06/2025
JV.2025.06.00626,4-Jun-2025,4-Jun-2025,MKG,Penjualan cafe,"908,811.00",Penjualan cafe strada MKG tanggal 04/06/2025
JV.2025.06.00700,4-Jun-2025,5-Jun-2025,MKG,Uang masuk,"908,811.00",Uang masuk penjualan cafe strada MKG tanggal 04/06/2025
JV.2025.06.00242,4-Jun-2025,4-Jun-2025,La Piazza,Penjualan cafe,"14,883,675.00",Penjualan cafe tanggal 04/06/2025
JV.2025.06.00254,4-Jun-2025,5-Jun-2025,La Piazza,Uang masuk,"14,724,750.00",Uang masuk penjualan cafe tanggal 04/06/2025
JV.2025.06.00627,5-Jun-2025,5-Jun-2025,MKG,Penjualan cafe,"963,270.00",Penjualan cafe strada MKG tanggal 05/06/2025
JV.2025.06.00701,5-Jun-2025,6-Jun-2025,MKG,Uang masuk,"963,270.00",Uang masuk penjualan cafe strada MKG tanggal 05/06/2025
