Loading missing reports data...
Mengambil data dari database Supabase...
[620/2802] Fetching Quinos: LA.PIAZZA @ 2025-04-14...
[621/2802] Fetching Quinos: MKG @ 2025-04-14...
[626/2802] Fetching Quinos: LA.PIAZZA @ 2025-04-15...
[627/2802] Fetching Quinos: MKG @ 2025-04-15...
[632/2802] Fetching Quinos: LA.PIAZZA @ 2025-04-16...
[633/2802] Fetching Quinos: MKG @ 2025-04-16...
[638/2802] Fetching Quinos: LA.PIAZZA @ 2025-04-17...
[639/2802] Fetching Quinos: MKG @ 2025-04-17...
[644/2802] Fetching Quinos: LA.PIAZZA @ 2025-04-18...
[645/2802] Fetching Quinos: MKG @ 2025-04-18...
[650/2802] Fetching Quinos: LA.PIAZZA @ 2025-04-19...
[651/2802] Fetching Quinos: MKG @ 2025-04-19...
[656/2802] Fetching Quinos: LA.PIAZZA @ 2025-04-20...
[657/2802] Fetching Quinos: MKG @ 2025-04-20...
[662/2802] Fetching Quinos: LA.PIAZZA @ 2025-04-21...
[663/2802] Fetching Quinos: MKG @ 2025-04-21...
[668/2802] Fetching Quinos: LA.PIAZZA @ 2025-04-22...
[669/2802] Fetching Quinos: MKG @ 2025-04-22...
[674/2802] Fetching Quinos: LA.PIAZZA @ 2025-04-23...
[675/2802] Fetching Quinos: MKG @ 2025-04-23...
[680/2802] Fetching Quinos: LA.PIAZZA @ 2025-04-24...
[681/2802] Fetching Quinos: MKG @ 2025-04-24...
[686/2802] Fetching Quinos: LA.PIAZZA @ 2025-04-25...
[687/2802] Fetching Quinos: MKG @ 2025-04-25...
[692/2802] Fetching Quinos: LA.PIAZZA @ 2025-04-26...
[693/2802] Fetching Quinos: MKG @ 2025-04-26...
[698/2802] Fetching Quinos: LA.PIAZZA @ 2025-04-27...
[699/2802] Fetching Quinos: MKG @ 2025-04-27...
[704/2802] Fetching Quinos: LA.PIAZZA @ 2025-04-28...
[705/2802] Fetching Quinos: MKG @ 2025-04-28...
[710/2802] Fetching Quinos: LA.PIAZZA @ 2025-04-29...
[711/2802] Fetching Quinos: MKG @ 2025-04-29...
[716/2802] Fetching Quinos: LA.PIAZZA @ 2025-04-30...
[717/2802] Fetching Quinos: MKG @ 2025-04-30...
[722/2802] Fetching Quinos: LA.PIAZZA @ 2025-05-01...
[723/2802] Fetching Quinos: MKG @ 2025-05-01...
[728/2802] Fetching Quinos: LA.PIAZZA @ 2025-05-02...
[729/2802] Fetching Quinos: MKG @ 2025-05-02...
[734/2802] Fetching Quinos: LA.PIAZZA @ 2025-05-03...
[735/2802] Fetching Quinos: MKG @ 2025-05-03...
[740/2802] Fetching Quinos: LA.PIAZZA @ 2025-05-04...
[741/2802] Fetching Quinos: MKG @ 2025-05-04...
[746/2802] Fetching Quinos: LA.PIAZZA @ 2025-05-05...
[747/2802] Fetching Quinos: MKG @ 2025-05-05...
[752/2802] Fetching Quinos: LA.PIAZZA @ 2025-05-06...
[753/2802] Fetching Quinos: MKG @ 2025-05-06...
[758/2802] Fetching Quinos: LA.PIAZZA @ 2025-05-07...
[759/2802] Fetching Quinos: MKG @ 2025-05-07...
[764/2802] Fetching Quinos: LA.PIAZZA @ 2025-05-08...
[765/2802] Fetching Quinos: MKG @ 2025-05-08...
[770/2802] Fetching Quinos: LA.PIAZZA @ 2025-05-09...
[771/2802] Fetching Quinos: MKG @ 2025-05-09...
[776/2802] Fetching Quinos: LA.PIAZZA @ 2025-05-10...
[777/2802] Fetching Quinos: MKG @ 2025-05-10...
[782/2802] Fetching Quinos: LA.PIAZZA @ 2025-05-11...
[783/2802] Fetching Quinos: MKG @ 2025-05-11...
[788/2802] Fetching Quinos: LA.PIAZZA @ 2025-05-12...
[789/2802] Fetching Quinos: MKG @ 2025-05-12...
[794/2802] Fetching Quinos: LA.PIAZZA @ 2025-05-13...
[795/2802] Fetching Quinos: MKG @ 2025-05-13...
[800/2802] Fetching Quinos: LA.PIAZZA @ 2025-05-14...
[801/2802] Fetching Quinos: MKG @ 2025-05-14...
[806/2802] Fetching Quinos: LA.PIAZZA @ 2025-05-15...
[807/2802] Fetching Quinos: MKG @ 2025-05-15...
[812/2802] Fetching Quinos: LA.PIAZZA @ 2025-05-16...
[813/2802] Fetching Quinos: MKG @ 2025-05-16...
[818/2802] Fetching Quinos: LA.PIAZZA @ 2025-05-17...
[819/2802] Fetching Quinos: MKG @ 2025-05-17...
[824/2802] Fetching Quinos: LA.PIAZZA @ 2025-05-18...
[825/2802] Fetching Quinos: MKG @ 2025-05-18...
[830/2802] Fetching Quinos: LA.PIAZZA @ 2025-05-19...
[831/2802] Fetching Quinos: MKG @ 2025-05-19...
[836/2802] Fetching Quinos: LA.PIAZZA @ 2025-05-20...
[837/2802] Fetching Quinos: MKG @ 2025-05-20...
[842/2802] Fetching Quinos: LA.PIAZZA @ 2025-05-21...
[843/2802] Fetching Quinos: MKG @ 2025-05-21...
[848/2802] Fetching Quinos: LA.PIAZZA @ 2025-05-22...
[849/2802] Fetching Quinos: MKG @ 2025-05-22...
[854/2802] Fetching Quinos: LA.PIAZZA @ 2025-05-23...
[855/2802] Fetching Quinos: MKG @ 2025-05-23...
[860/2802] Fetching Quinos: LA.PIAZZA @ 2025-05-24...
[861/2802] Fetching Quinos: MKG @ 2025-05-24...
[866/2802] Fetching Quinos: LA.PIAZZA @ 2025-05-25...
[867/2802] Fetching Quinos: MKG @ 2025-05-25...
[872/2802] Fetching Quinos: LA.PIAZZA @ 2025-05-26...
[873/2802] Fetching Quinos: MKG @ 2025-05-26...
[878/2802] Fetching Quinos: LA.PIAZZA @ 2025-05-27...
[879/2802] Fetching Quinos: MKG @ 2025-05-27...
[884/2802] Fetching Quinos: LA.PIAZZA @ 2025-05-28...
[885/2802] Fetching Quinos: MKG @ 2025-05-28...
[890/2802] Fetching Quinos: LA.PIAZZA @ 2025-05-29...
[891/2802] Fetching Quinos: MKG @ 2025-05-29...
[896/2802] Fetching Quinos: LA.PIAZZA @ 2025-05-30...
[897/2802] Fetching Quinos: MKG @ 2025-05-30...
[902/2802] Fetching Quinos: LA.PIAZZA @ 2025-05-31...
[903/2802] Fetching Quinos: MKG @ 2025-05-31...
[908/2802] Fetching Quinos: LA.PIAZZA @ 2025-06-01...
[909/2802] Fetching Quinos: MKG @ 2025-06-01...
[914/2802] Fetching Quinos: LA.PIAZZA @ 2025-06-02...
[915/2802] Fetching Quinos: MKG @ 2025-06-02...
[920/2802] Fetching Quinos: LA.PIAZZA @ 2025-06-03...
[921/2802] Fetching Quinos: MKG @ 2025-06-03...
[926/2802] Fetching Quinos: LA.PIAZZA @ 2025-06-04...
[927/2802] Fetching Quinos: MKG @ 2025-06-04...
[932/2802] Fetching Quinos: LA.PIAZZA @ 2025-06-05...
[933/2802] Fetching Quinos: MKG @ 2025-06-05...
[938/2802] Fetching Quinos: LA.PIAZZA @ 2025-06-06...
[939/2802] Fetching Quinos: MKG @ 2025-06-06...
[944/2802] Fetching Quinos: LA.PIAZZA @ 2025-06-07...
[945/2802] Fetching Quinos: MKG @ 2025-06-07...
[950/2802] Fetching Quinos: LA.PIAZZA @ 2025-06-08...
[951/2802] Fetching Quinos: MKG @ 2025-06-08...
[956/2802] Fetching Quinos: LA.PIAZZA @ 2025-06-09...
[957/2802] Fetching Quinos: MKG @ 2025-06-09...
[962/2802] Fetching Quinos: LA.PIAZZA @ 2025-06-10...
[963/2802] Fetching Quinos: MKG @ 2025-06-10...
[968/2802] Fetching Quinos: LA.PIAZZA @ 2025-06-11...
[969/2802] Fetching Quinos: MKG @ 2025-06-11...
[974/2802] Fetching Quinos: LA.PIAZZA @ 2025-06-12...
[975/2802] Fetching Quinos: MKG @ 2025-06-12...
[980/2802] Fetching Quinos: LA.PIAZZA @ 2025-06-13...
[981/2802] Fetching Quinos: MKG @ 2025-06-13...
[986/2802] Fetching Quinos: LA.PIAZZA @ 2025-06-14...
[987/2802] Fetching Quinos: MKG @ 2025-06-14...
[992/2802] Fetching Quinos: LA.PIAZZA @ 2025-06-15...
[993/2802] Fetching Quinos: MKG @ 2025-06-15...
[998/2802] Fetching Quinos: LA.PIAZZA @ 2025-06-16...
[999/2802] Fetching Quinos: MKG @ 2025-06-16...
[1004/2802] Fetching Quinos: LA.PIAZZA @ 2025-06-17...
[1005/2802] Fetching Quinos: MKG @ 2025-06-17...
[1010/2802] Fetching Quinos: LA.PIAZZA @ 2025-06-18...
[1011/2802] Fetching Quinos: MKG @ 2025-06-18...
[1016/2802] Fetching Quinos: LA.PIAZZA @ 2025-06-19...
[1017/2802] Fetching Quinos: MKG @ 2025-06-19...
[1022/2802] Fetching Quinos: LA.PIAZZA @ 2025-06-20...
[1023/2802] Fetching Quinos: MKG @ 2025-06-20...
[1028/2802] Fetching Quinos: LA.PIAZZA @ 2025-06-21...
[1029/2802] Fetching Quinos: MKG @ 2025-06-21...
[1034/2802] Fetching Quinos: LA.PIAZZA @ 2025-06-22...
[1035/2802] Fetching Quinos: MKG @ 2025-06-22...
[1040/2802] Fetching Quinos: LA.PIAZZA @ 2025-06-23...
[1041/2802] Fetching Quinos: MKG @ 2025-06-23...
[1046/2802] Fetching Quinos: LA.PIAZZA @ 2025-06-24...
[1047/2802] Fetching Quinos: MKG @ 2025-06-24...
[1052/2802] Fetching Quinos: LA.PIAZZA @ 2025-06-25...
[1053/2802] Fetching Quinos: MKG @ 2025-06-25...
[1058/2802] Fetching Quinos: LA.PIAZZA @ 2025-06-26...
[1059/2802] Fetching Quinos: MKG @ 2025-06-26...
[1064/2802] Fetching Quinos: LA.PIAZZA @ 2025-06-27...
[1065/2802] Fetching Quinos: MKG @ 2025-06-27...
[1070/2802] Fetching Quinos: LA.PIAZZA @ 2025-06-28...
[1071/2802] Fetching Quinos: MKG @ 2025-06-28...
[1076/2802] Fetching Quinos: LA.PIAZZA @ 2025-06-29...
[1077/2802] Fetching Quinos: MKG @ 2025-06-29...
[1082/2802] Fetching Quinos: LA.PIAZZA @ 2025-06-30...
[1083/2802] Fetching Quinos: MKG @ 2025-06-30...
[1088/2802] Fetching Quinos: LA.PIAZZA @ 2025-07-01...
[1089/2802] Fetching Quinos: MKG @ 2025-07-01...
[1094/2802] Fetching Quinos: LA.PIAZZA @ 2025-07-02...
[1095/2802] Fetching Quinos: MKG @ 2025-07-02...
[1100/2802] Fetching Quinos: LA.PIAZZA @ 2025-07-03...
[1101/2802] Fetching Quinos: MKG @ 2025-07-03...
[1106/2802] Fetching Quinos: LA.PIAZZA @ 2025-07-04...
[1107/2802] Fetching Quinos: MKG @ 2025-07-04...
[1112/2802] Fetching Quinos: LA.PIAZZA @ 2025-07-05...
[1113/2802] Fetching Quinos: MKG @ 2025-07-05...
[1118/2802] Fetching Quinos: LA.PIAZZA @ 2025-07-06...
[1119/2802] Fetching Quinos: MKG @ 2025-07-06...
[1124/2802] Fetching Quinos: LA.PIAZZA @ 2025-07-07...
[1125/2802] Fetching Quinos: MKG @ 2025-07-07...
[1130/2802] Fetching Quinos: LA.PIAZZA @ 2025-07-08...
[1131/2802] Fetching Quinos: MKG @ 2025-07-08...
[1136/2802] Fetching Quinos: LA.PIAZZA @ 2025-07-09...
[1137/2802] Fetching Quinos: MKG @ 2025-07-09...
[1142/2802] Fetching Quinos: LA.PIAZZA @ 2025-07-10...
[1143/2802] Fetching Quinos: MKG @ 2025-07-10...
[1148/2802] Fetching Quinos: LA.PIAZZA @ 2025-07-11...
[1149/2802] Fetching Quinos: MKG @ 2025-07-11...
[1154/2802] Fetching Quinos: LA.PIAZZA @ 2025-07-12...
[1155/2802] Fetching Quinos: MKG @ 2025-07-12...
[1160/2802] Fetching Quinos: LA.PIAZZA @ 2025-07-13...
[1161/2802] Fetching Quinos: MKG @ 2025-07-13...
[1166/2802] Fetching Quinos: LA.PIAZZA @ 2025-07-14...
[1167/2802] Fetching Quinos: MKG @ 2025-07-14...
