Tanggal,Toko,Penjualan Ada,Uang Masuk Ada,Total Quinos Gross (Dari Accurate),Total Mutasi Bank (Dari Accurate),Biaya Admin Bank,Biaya Merchant
2025-02-25,LA.PIAZZA,Y,Y,12499430,12272450.89,122304.11,26600
2025-02-25,MKG,Y,Y,468225,465066.98,3257.02,0
2025-02-26,LA.PIAZZA,Y,Y,13484850,13311243.54,133626.46,39980
2025-02-26,MKG,Y,Y,554400,550633.56,3766.44,0
2025-02-27,LA.PIAZZA,Y,Y,12451830,11665880.28,106699.72,68000
2025-02-27,MKG,Y,Y,791845,785796.15,6048.85,0
2025-02-28,LA.PIAZZA,Y,Y,16727040,16110214.48,154685.52,77380
2025-02-28,MKG,Y,Y,794640,768391.48,5458.52,0
2025-03-01,LA.PIAZZA,Y,Y,25830920,25404951.01,247608.99,28360
2025-03-01,MKG,Y,Y,2630805,2607047.68,23757.32,0
2025-03-02,LA.PIAZZA,Y,Y,18760595,18379426.89,170788.11,105700
2025-03-02,MKG,Y,Y,1386245,1374226.68,12018.32,0
2025-03-03,LA.PIAZZA,Y,Y,10329105,10184892.72,110332.28,33880
2025-03-03,MKG,Y,Y,426630,419634.84,2345.16,0
2025-03-04,LA.PIAZZA,Y,Y,9321180,9090207.68,72902.32,72600
2025-03-04,MKG,Y,Y,662970,658615.08,4354.92,0
2025-03-05,LA.PIAZZA,Y,Y,14026390,13780073.04,132816.96,113500
2025-03-05,MKG,Y,Y,623700,619334.1,4365.9,0
2025-03-06,LA.PIAZZA,Y,Y,8200180,8015818.58,77061.42,27500
2025-03-06,MKG,Y,Y,1055670,1047741.42,7928.58,0
2025-03-07,LA.PIAZZA,Y,Y,15925795,15577514.63,157985.37,58320
2025-03-07,MKG,Y,Y,1247417,1230938.13,9128.87,0
2025-03-08,LA.PIAZZA,Y,Y,25041968,24650457.35,253515.65,81400
2025-03-08,MKG,Y,Y,2050125,2031871.21,18253.79,0
2025-03-09,LA.PIAZZA,Y,Y,18115300,17958557.57,182757.43,48800
2025-03-09,MKG,Y,Y,1562715,1550581.08,12133.92,0
2025-03-10,LA.PIAZZA,Y,Y,12149550,12018229.13,97320.87,34000
2025-03-10,MKG,Y,Y,363825,360017.38,3807.62,0
2025-03-11,LA.PIAZZA,Y,Y,14343635,14053773.55,149886.45,51220
2025-03-11,MKG,Y,Y,906675,899856.06,6818.94,0
2025-03-12,LA.PIAZZA,Y,Y,10825165,11040267.38,105950.62,117847
2025-03-12,MKG,Y,Y,1010110,1003522.03,6587.97,0
2025-03-13,LA.PIAZZA,Y,Y,13930965,13478517.23,107642.77,63060
2025-03-13,MKG,Y,Y,820720,813625.78,7094.22,0
2025-03-14,LA.PIAZZA,Y,Y,22784800,22446648.35,263151.65,25000
2025-03-14,MKG,Y,Y,687962,679663.71,5598.29,0
2025-03-15,LA.PIAZZA,Y,Y,26962190,26481391.94,244178.06,86620
2025-03-15,MKG,Y,Y,2763725,2741094.83,22630.17,0
2025-03-16,LA.PIAZZA,Y,Y,20912855,20291995.54,217499.46,63260
2025-03-16,MKG,Y,Y,2893394,2862334.28,23859.72,0
2025-03-17,LA.PIAZZA,Y,Y,13015650,12815133.89,111986.11,33480
2025-03-17,MKG,Y,Y,312095,309910.34,2184.66,0
2025-03-18,LA.PIAZZA,Y,Y,15257245,14922373.67,164871.33,70000
2025-03-18,MKG,Y,Y,671055,665985.44,5069.56,0
2025-03-19,LA.PIAZZA,Y,Y,11926750,11560866.67,117408.33,96000
2025-03-19,MKG,Y,Y,731360,726640.71,4719.29,0
2025-03-20,LA.PIAZZA,Y,Y,16664370,15813726.7,157358.3,82060
2025-03-20,MKG,Y,Y,0,2012938.38,18076.62,0
2025-03-21,LA.PIAZZA,Y,Y,17277160,17045607.99,143632.01,87920
2025-03-21,MKG,Y,Y,1136144,1124498.57,0,7445.43
2025-03-22,LA.PIAZZA,Y,Y,27162410,26860298.84,236711.16,15400
2025-03-22,MKG,Y,Y,2933706,2904200.65,22155.35,0
2025-03-23,LA.PIAZZA,Y,Y,29201725,27763443.49,291409.51,101227
2025-03-23,MKG,Y,Y,2413500,2396509.39,16990.61,0
2025-03-24,LA.PIAZZA,Y,Y,15014650,14843356.32,123133.68,48160
2025-03-24,MKG,Y,Y,778470,773020.72,5449.28,0
2025-03-25,LA.PIAZZA,Y,Y,23200405,22668916.1,190498.9,68300
2025-03-25,MKG,Y,Y,1435575,1598112.63,10224.37,0
2025-03-26,LA.PIAZZA,Y,Y,16803110,16278356.49,134633.51,70120
2025-03-26,MKG,Y,Y,1416834,1368470.8,10703.2,0
2025-03-27,LA.PIAZZA,Y,Y,15214675,14862227.77,134512.23,27060
2025-03-28,LA.PIAZZA,Y,Y,0,22945584.48,229705.52,28800
2025-03-28,MKG,Y,N,23344515,0,0,0
2025-03-29,LA.PIAZZA,Y,Y,27985050,27691082.42,209887.58,34080
2025-03-29,MKG,Y,Y,3355185,3329248.49,25936.51,0
2025-03-30,LA.PIAZZA,Y,Y,23362735,22901984.98,204475.02,256275
2025-03-30,MKG,Y,Y,2563645,2517518.46,19574.54,0
2025-03-31,LA.PIAZZA,Y,Y,31915775,31460994.74,283538.26,96242
2025-03-31,MKG,Y,Y,1360590,1351287.47,9302.53,0
2025-04-01,LA.PIAZZA,Y,Y,25298280,25037298.14,238981.86,22000
2025-04-01,MKG,Y,Y,2483444,2457078.1,21715.9,0
2025-04-02,LA.PIAZZA,Y,Y,27034140,50766600.31,484224.69,122900
2025-04-02,MKG,Y,Y,1912230,1896248.31,15981.69,0
2025-04-03,LA.PIAZZA,Y,Y,24460860,33483000.87,314189.13,62040
2025-04-03,MKG,Y,Y,1732325,1709314.57,16560.43,0
2025-04-04,LA.PIAZZA,Y,Y,28038140,27565511.06,266538.94,119720
2025-04-04,MKG,Y,Y,1097815,1088046.92,9768.08,0
2025-04-05,LA.PIAZZA,Y,Y,31714725,31248757.19,318031.81,73936
2025-04-05,MKG,Y,Y,1886390,1870025.46,16364.54,0
2025-04-06,LA.PIAZZA,Y,Y,19156845,18859453.22,205286.78,40680
2025-04-06,MKG,N,Y,0,2625168.22,20296.78,0
2025-04-07,LA.PIAZZA,Y,Y,19176920,18924250.6,171869.4,48800
