Tanggal,Toko,MASUK CASH,KREDIT BCA,DEBIT BCA,QRIS BCA,MASUK GO-BIZ,MASUK OVO
16/02/2026,SMS,,,"153,384.58 ","844,794.75 ",,
17/02/2026,SMS,,"200,561.00 ","263,735.01 ","440,415.37 ",,
18/02/2026,SMS,,,"267,214.45 ","620,272.49 ",,
19/02/2026,SMS,,"36,221.00 ",,"377,335.04 ",,
20/02/2026,SMS,,,"79,575.46 ","422,064.73 ",,
21/02/2026,SMS,,,,"780,145.49 ",,
22/02/2026,SMS,,"220,722.00 ","183,688.32 ","992,081.48 ",,
23/02/2026,SMS,,,,"405,134.08 ",,
24/02/2026,SMS,,,"42,670.90 ","128,454.48 ",,
25/02/2026,SMS,,"36,221.00 ","36,904.56 ","147,952.04 ",,
26/02/2026,SMS,,,"49,590.51 ","416,965.67 ",,
27/02/2026,SMS,,"75,838.00 ","40,364.37 ","939,338.29 ",,
28/02/2026,SMS,,"123,377.00 ",,"1,087,429.34 ","29,720.00 ",
01/03/2026,SMS,,"260,339.00 ",,"697,324.32 ",,
02/03/2026,SMS,,"56,595.00 ",,"203,003.96 ",,
03/03/2026,SMS,,,"49,590.51 ","379,628.88 ",,
04/03/2026,SMS,,"122,246.00 ","77,990.22 ",,,
05/03/2026,SMS,,,,"480,363.75 ",,
06/03/2026,SMS,,,,"534,705.68 ",,
07/03/2026,SMS,,"171,558.00 ","86,151.45 ","1,567,837.77 ",,
08/03/2026,SMS,,"118,850.00 ","125,362.55 ","1,114,319.78 ",,"100,000.00 "
09/03/2026,SMS,,,"36,904.56 ","720,262.63 ",,
10/03/2026,SMS,,,,"119,279.17 ",,
11/03/2026,SMS,,,"123,036.38 ","334,899.18 ",,
12/03/2026,SMS,,"75,837.00 ",,"225,942.26 ",,
13/03/2026,SMS,,"76,925.31 ",,"386,510.36 ",,
14/03/2026,SMS,,,"128,576.91 ","1,097,597.66 ",,
15/03/2026,SMS,,"45,276.00 ","134,441.43 ","1,099,017.65 ",,
16/03/2026,SMS,,,,"334,899.19 ",,
17/03/2026,SMS,,"39,617.00 ",,"424,358.56 ",,
18/03/2026,SMS,,"155,070.00 ","85,341.80 ","729,437.95 ",,
19/03/2026,SMS,,"59,991.00 ","123,399.63 ","939,323.40 ",,
20/03/2026,SMS,,"196,951.00 ",,"1,551,264.61 ",,
21/03/2026,SMS,,,"80,728.73 ","771,873.80 ",,
22/03/2026,SMS,,"41,880.00 ",,"1,301,991.81 ",,
23/03/2026,SMS,,"98,475.00 ",,"941,408.69 ",,
24/03/2026,SMS,,"39,819.00 ","40,020.75 ","617,040.27 ",,
25/03/2026,SMS,,,"79,575.46 ","834,050.50 ",,
26/03/2026,SMS,,,,"547,202.58 ",,
27/03/2026,SMS,,,,"330,311.53 ",,
28/03/2026,SMS,,,"175,296.66 ","1,109,066.82 ",,
29/03/2026,SMS,,,"84,615.30 ","531,021.65 ","34,520.00 ",
30/03/2026,SMS,,"41,880.00 ",,"127,307.57 ",,
31/03/2026,SMS,,,,"309,667.06 ",,
01/04/2026,SMS,,"39,617.00 ",,"438,121.54 ",,
02/04/2026,SMS,,"39,617.00 ",,"403,714.09 ",,
03/04/2026,SMS,,"81,497.00 ","79,575.46 ","1,241,205.32 ",,
04/04/2026,SMS,,"39,617.00 ","80,728.73 ","1,037,476.48 ",,
05/04/2026,SMS,,,"367,185.48 ","654,888.47 ",,
06/04/2026,SMS,,"127,400.00 ",,"157,127.36 ",,
07/04/2026,SMS,,,"48,437.24 ","121,573.00 ",,
08/04/2026,SMS,,,,"87,165.55 ",,
09/04/2026,SMS,,"31,517.00 ",,"338,339.94 ",,
10/04/2026,SMS,,,"36,904.56 ","363,572.06 ",,
11/04/2026,SMS,,"164,126.00 ","44,594.55 ","713,381.14 ",,
12/04/2026,SMS,,"120,195.00 ","119,625.66 ","667,504.53 ",,
13/04/2026,SMS,,,,,,
14/04/2026,SMS,,,,,,
15/04/2026,SMS,,,,,,
