PENJUALAN,,,,,UANG MASUK,,,,
Kata Kata Quinos,Kode Accurate,Outlet,Kredit/Debit,,Kata Kata Quinos,Kode Accurate,Outlet,Kredit/Debit,
Payment Method - Workshop SMS Vou,4000.96.13,3.SMS,Debit,,,,,,
Revenue - Discount,4000.91,4.BSD,Debit,,,,,,
Revenue - Discount,4000.91,2.LPZ,Debit,,,,,,
Revenue - Discount,4000.91,5.MKG,Debit,,,,,,
Revenue - Discount,4000.91,6.SMB,Debit,,,,,,
Revenue - Discount,4000.91,7.SMB Gold Lounge,Debit,,,,,,
Revenue - Discount,4000.91,3.SMS,Debit,,,,,,
Revenue - Discount,4000.91,8.SCBD,Debit,,,,,,
Revenue - Service Charge,2001.03.04,4.BSD,Kredit,,,,,,
Revenue - Service Charge,2001.03.02,2.LPZ,Kredit,,,,,,
Revenue - Service Charge,2001.03.05,5.MKG,Kredit,,,,,,
Revenue - Service Charge,2001.03.06,6.SMB,Kredit,,,,,,
Revenue - Service Charge,2001.03.07,7.SMB Gold Lounge,Kredit,,,,,,
Revenue - Service Charge,2001.03.03,3.SMS,Kredit,,,,,,
Revenue - Service Charge,2001.03.08,8.SCBD,Kredit,,,,,,
Revenue - Tax,2002.03.02.04,4.BSD,Kredit,,,,,,
Revenue - Tax,2002.03.02.01,2.LPZ,Kredit,,,,,,
Revenue - Tax,2002.03.02.05,5.MKG,Kredit,,,,,,
Revenue - Tax,2002.03.02.06,6.SMB,Kredit,,,,,,
Revenue - Tax,2002.03.02.07,7.SMB Gold Lounge,Kredit,,,,,,
Revenue - Tax,2002.03.02.03,3.SMS,Kredit,,,,,,
Revenue - Tax,2002.03.02.08,8.SCBD,Kredit,,,,,,
Payment Method - CASH,1000.01.04,4.BSD,Debit,,,,,,
Payment Method - CASH,1000.01.02,2.LPZ,Debit,,,,,,
Payment Method - CASH,1000.01.05,5.MKG,Debit,,,,,,
Payment Method - CASH,1000.01.06,6.SMB,Debit,,,,,,
Payment Method - CASH,1000.01.08,7.SMB Gold Lounge,Debit,,,,,,
Payment Method - CASH,1000.01.07,3.SMS,Debit,,,,,,
Payment Method - CASH,1000.01.03,8.SCBD,Kredit,,,,,,
Payment Method - CREDIT BCA,1000.02.04.02,4.BSD,Debit,,,,,,
Payment Method - CREDIT BCA,1000.02.02.02,2.LPZ,Debit,,,,,,
Payment Method - CREDIT BCA,1000.02.05.02,5.MKG,Debit,,,,,,
Payment Method - CREDIT BCA,1000.02.06.02,6.SMB,Debit,,,,,,
Payment Method - CREDIT BCA,1000.02.07.02,7.SMB Gold Lounge,Debit,,,,,,
Payment Method - CREDIT BCA,1000.02.03.02,3.SMS,Debit,,,,,,
Payment Method - CREDIT BCA,1000.02.08.02,8.SCBD,Debit,,,,,,
Payment Method - DEBIT,1000.02.04.02,4.BSD,Debit,,,,,,
Payment Method - DEBIT,1000.02.02.02,2.LPZ,Debit,,,,,,
Payment Method - DEBIT,1000.02.05.02,5.MKG,Debit,,,,,,
Payment Method - DEBIT,1000.02.06.02,6.SMB,Debit,,,,,,
Payment Method - DEBIT,1000.02.07.02,7.SMB Gold Lounge,Debit,,,,,,
Payment Method - DEBIT,1000.02.03.02,3.SMS,Debit,,,,,,
Payment Method - DEBIT,1000.02.08.02,8.SCBD,Debit,,,,,,
Payment Method - DEBIT BCA,1000.02.04.02,4.BSD,Debit,,,,,,
Payment Method - DEBIT BCA,1000.02.02.02,2.LPZ,Debit,,,,,,
Payment Method - DEBIT BCA,1000.02.05.02,5.MKG,Debit,,,,,,
Payment Method - DEBIT BCA,1000.02.06.02,6.SMB,Debit,,,,,,
Payment Method - DEBIT BCA,1000.02.07.02,7.SMB Gold Lounge,Debit,,,,,,
Payment Method - DEBIT BCA,1000.02.03.02,3.SMS,Debit,,,,,,
Payment Method - DEBIT BCA,1000.02.08.02,8.SCBD,Debit,,,,,,
Payment Method - GOBIZ,1100.02.04,4.BSD,Debit,,,,,,
Payment Method - GOBIZ,1100.02.02,2.LPZ,Debit,,,,,,
Payment Method - GOBIZ,1100.02.05,5.MKG,Debit,,,,,,
Payment Method - GOBIZ,1100.02.06,6.SMB,Debit,,,,,,
Payment Method - GOBIZ,1100.02.07,7.SMB Gold Lounge,Debit,,,,,,
Payment Method - GOBIZ,1100.02.03,3.SMS,Debit,,,,,,
Payment Method - GOBIZ,1100.02.08,8.SCBD,Debit,,,,,,
Payment Method - OVO,1100.03.04,4.BSD,Debit,,,,,,
Payment Method - OVO, 1100.03.02,2.LPZ,Debit,,,,,,
Payment Method - OVO,1100.03.05,5.MKG,Debit,,,,,,
Payment Method - OVO,1100.03.06,6.SMB,Debit,,,,,,
Payment Method - OVO,1100.03.07,7.SMB Gold Lounge,Debit,,,,,,
Payment Method - OVO,1100.03.03,3.SMS,Debit,,,,,,
Payment Method - OVO,1100.03.08,8.SCBD,Debit,,,,,,
Payment Method - QRIS,1000.02.04.02,4.BSD,Debit,,,,,,
Payment Method - QRIS,1000.02.02.02,2.LPZ,Debit,,,,,,
Payment Method - QRIS,1000.02.05.02,5.MKG,Debit,,,,,,
Payment Method - QRIS,1000.02.06.02,6.SMB,Debit,,,,,,
Payment Method - QRIS,1000.02.07.02,7.SMB Gold Lounge,Debit,,,,,,
Payment Method - QRIS,1000.02.03.02,3.SMS,Debit,,,,,,
Payment Method - QRIS,1000.02.08.02,8.SCBD,Debit,,,,,,
